protocol,domain_name,address,long_url,having_@_symbol,redirection_//_symbol,prefix_suffix_seperation,sub_domains,having_ip_address,shortening_service,https_token,abnormal_url,web_traffic,domain_registration_length,age_of_domain,dns_record,statistical_report
http,www.tsimon.com,freberg.htm,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,www.firezine.net,issue6/fz6_07.htm,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.thehutch.com,rabhutch/freberg.htm,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.povonline.com,cols/col051.htm,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.povonline.com,2001/news060901.htm,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.austinchronicle.com,issues/dispatch/1999-12-10/music_feature3.html,0,0,0,0,0,0,0,1,1,0,1,1,1,0
http,www.dawsbutler.com,freberg.htm,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,freberg.westnet.com,list.html,0,0,0,0,0,0,1,1,1,2,1,1,1,0
http,www.rhino.com,features/75645p.html,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,hitcomedy.com,index.html?/act/freberg/,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.cyberonic.net,~atrain/comedy/freberg.htm,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,www.povonline.com,cols/col102.htm,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,freberg.westnet.com,hear_it.html,0,0,0,0,0,0,1,1,1,2,1,1,1,0
http,www.epinions.com,musc-album-musc-freberg__stan/tk_~mm032.1.2,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,citypaper.net,articles/091699/mus.stan.shtml,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.crispinfreeman.com,,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,www.reelradio.com,gifts/frees.html,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,www.spookytoms.com,paul_frees_tribute.html,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.hollowhill.com,gm/library/frees.htm,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,www.dvdtalk.com,dvdsavant/s74frees.html,0,0,0,0,0,0,0,1,1,0,1,1,1,0
http,us.imdb.com,name/nm0293659/,0,0,0,0,0,0,0,1,1,0,1,1,1,0
http,www.voicechasers.com,database/showactor.php?actorid=1248,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,bakerstreetdozen.com,frewernews.html,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,us.imdb.com,name/nm0001242/,0,0,0,0,0,0,0,1,1,0,1,1,1,0
http,www.geocities.com,enchantedforest/dell/8545/va.html,0,0,0,0,0,0,0,1,1,0,1,1,1,0
http,www.angelfire.com,ut/rtoons/actors.html,0,0,0,0,0,0,0,1,1,0,1,1,1,0
http,www.geocities.com,hollywood/lot/2636/voiceacting/,0,0,0,0,0,0,0,1,1,0,1,1,1,0
http,www.geocities.com,philbass_2000/narrators.html,0,0,0,0,0,0,0,1,1,0,1,1,1,0
http,doreen.mkbmemorial.com,,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,www.geocities.com,televisioncity/taping/6785/index.html,0,0,0,0,0,0,0,1,1,0,1,1,1,0
http,www.keyframeonline.com,kf.php?op=voic,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,www.voicechasers.com,,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,us.imdb.com,name/nm0304000/,0,0,0,0,0,0,0,1,1,0,1,1,1,0
http,www.taoslandandfilm.com,bradentnwkly.html,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,us.imdb.com,name/nm0004951/,0,0,0,0,0,0,0,1,1,0,1,1,1,0
http,kathygarver.com,,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,us.imdb.com,name/nm0308744/,0,0,0,0,0,0,0,1,1,0,1,1,1,0
http,www.dickgautier.com,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.dangilvezan.com,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,us.imdb.com,name/nm0319737/,0,0,0,0,0,0,0,1,1,0,1,1,1,0
http,us.imdb.com,name/nm0330015/,0,0,0,0,0,0,0,1,1,0,1,1,1,0
http,www.tv-now.com,stars/gotfried.html,0,0,0,1,0,0,0,1,1,1,1,1,1,0
http,www.cdaccess.com,html/pc/midmovie.htm,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,genetic_mishap.tripod.com,landofthreenamedpeople/,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.angelfire.com,celeb/starzbios/gottfried_g.html,0,0,0,0,0,0,0,1,1,0,1,1,1,0
